Model,R² (Train),R² (Test),RMSE (Train),RMSE (Test),MAE (Train),MAE (Test),CV R² Mean,CV R² Std
Random Forest,0.9612627001892485,0.8156178509775486,3.783995596339589,8.415287372164329,2.9652236370125094,6.74149313951062,0.8108823470564912,0.006449957060930218
Gradient Boosting,0.9692081008689679,0.902317318815416,3.3736823385384316,6.125172171932326,2.649758836541553,4.845909091948354,0.887154822119937,0.006884088905376071
XGBoost,0.9840070833900255,0.9032649597455966,2.431362904000781,6.095388948963796,1.8682267932110996,4.813803251862381,0.8904587284017532,0.0058405058420330684
Neural Network,0.9040165195704626,0.8598998273762083,5.956404687498881,7.335485283870636,4.701524176678141,5.847713916427695,0.8312349342604485,0.013371751905007008
